model_name,type,latent_0,latent_1,latent_2
microsoft/Phi-3-medium-4k-instruct,training,-0.3144223392009735,0.5001189708709717,0.5557805299758911
microsoft/Phi-3.5-mini-instruct,training,-0.2761913537979126,0.44149255752563477,0.5236459374427795
microsoft/phi-4,training,-0.7187763452529907,0.6322422027587891,-0.2133096307516098
01-ai/Yi-1.5-9B,training,-0.5096363425254822,0.32596686482429504,0.2672625482082367
01-ai/Yi-1.5-34B,training,-0.5419349670410156,0.4335922598838806,0.20064552128314972
01-ai/Yi-1.5-34B-Chat,training,-0.28054994344711304,0.5645949840545654,0.49059706926345825
tiiuae/falcon-7b,training,-0.440599262714386,0.00519505375996232,0.3275960683822632
tiiuae/falcon-40b,training,-0.502648651599884,0.1075562983751297,0.3313709497451782
tiiuae/Falcon3-7B-Base,training,-0.4504094123840332,0.39583346247673035,0.2931842803955078
tiiuae/Falcon3-10B-Base,training,-0.4246794879436493,0.5089671611785889,0.24990715086460114
deepseek-ai/deepseek-llm-7b-base,training,-0.43923434615135193,0.06625288724899292,0.33203384280204773
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,training,-0.1917591243982315,0.299233078956604,0.4225761294364929
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,training,-0.2791630029678345,0.6112726330757141,0.2782909870147705
EleutherAI/gpt-j-6b,training,-0.34078601002693176,0.03759722411632538,0.38271427154541016
EleutherAI/pythia-12b,training,-0.3421018719673157,0.03276181221008301,0.37299978733062744
stabilityai/stablelm-2-12b,training,-0.5919895172119141,0.17331434786319733,0.16803379356861115
databricks/dbrx-base,training,-0.7000457048416138,0.26329636573791504,0.026703953742980957
HuggingFaceH4/zephyr-7b-beta,training,-0.3453919291496277,0.1558832973241806,0.5888974666595459
NousResearch/Hermes-3-Llama-3.1-8B,training,-0.33950453996658325,0.21018771827220917,0.6913300156593323
allenai/OLMo-7B-hf,training,-0.3650526702404022,0.023775210604071617,0.42054834961891174
allenai/Llama-3.1-Tulu-3-8B,training,-0.03573358803987503,0.3524683117866516,0.8293785452842712
meta-llama/Meta-Llama-3-70B-Instruct,target,-0.28895616700093646,0.5036871839834162,0.7534395973054269
